anexo,codigo,descripcion,partida
25.1,22101528,Cargadores de ruedas,"8429.51.00.00 y 8429.52.00.00"
25.1,22101529,Cargadores sobre patines con direccion,"8429.51.00.00 y 8429.52.00.00"
25.1,22101530,Raspadores abiertos,"8429.30.00.00 y 8429.52.00.00"
25.1,22101532,Cargadores de orugas,"8429.51.00.00 y 8429.52.00.00"
25.1,22101534,Excavadoras de campana,"8429.52.00.00 y 8429.59.00.00"
25.1,22101602,Equipo de apisonamiento,"8429.40.00.00 y 8429.52.00.00"
25.1,22101701,Palas excavadoras,"8429.52.00.00 y 8429.59.00.00"
25.1,22101702,Palas mecanicas para el movimiento de tierra o sus piezas o accesorios,"8429.52.00.00 y 8429.59.00.00"
25.1,22101713,Brazo de retroexcavadora o secciones del brazo,"8429.52.00.00 y 8429.59.00.00"
25.1,22101714,Kits de reparacion o piezas de apisonadora,8429.40.00.00
25.1,25181709,Pala cargadora,"8429.51.00.00 y 8429.52.00.00"
25.1,26111600,Generadores de potencia,"8502.11.10.00, 8502.11.90.00, 8502.12.10.00, 8502.12.90.00, 8502.13.10.00, 8502.13.90.00, 8502.20.10.00, 8502.20.90.00, 8502.39.10.00 y 8502.39.90.00"
25.1,26111603,Generadores eolicos,8502.31.00.00
25.1,39121013,Convertidores rotativos electricos,8502.40.00.00
25.1,40151530,Bombas de dragado,8905.10.00.00
25.1,12352104,Alcoholes o sus sustitutos,"2207.10.00.00, 2207.20.00.10, 2207.20.00.90 y 2208.90.10.00"
25.1,50161509,Azucares naturales o productos endulzantes,"1701.13.00.00, 1701.14.00.00, 1701.91.00.00, 1701.99.90.00, 1703.10.00.00"
25.1,50221101,Grano de cereal,"1006.20.00.00, 1006.30.00.00, 1006.40.00.00 y 2302.20.00.00"
25.1,71101710,Servicio de alquiler o leasing de maquinaria y equipo para mineria,
25.1,72141701,Servicio de alquiler o leasing de maquinaria para construccion,
25.1,72141702,Servicio de alquiler o leasing de equipo para construccion,
25.1,73121509,Servicios de purificacion de metales,
25.1,73121613,Servicios de fundicion de metales,
25.1,73121500,Procesos de fundicion y refinacion y formado de metales,
25.2,10171503,"Harina, polvo y pellets de pescado, crustaceos, moluscos y demas invertebrados acuaticos",
25.2,11101600,Minerales metalicos no auriferos,
25.2,11101714,Plomo,
25.2,11111600,Piedra,
25.2,11111700,Arena,
25.2,11121600,Madera,
25.2,11140000,Chatarra y materiales de desecho,
25.2,50111500,Carnes y despojos comestibles,
25.2,50120000,Recursos hidrobiologicos,
25.2,50151600,Aceite de pescado,
25.2,50161509,Cana de Azucar,
25.2,50171500,Paprika,
25.2,50203205,Leche cruda entera,
25.2,50403200,Maiz amarillo,
25.2,11111111,Bienes gravados con el IGV por renuncia a la exoneracion,
25.3,12142104,Dioxido de carbono,
25.3,13111039,Poli (tereftalato de etileno) sin adicion de dioxido de titanio en formas primarias,
25.3,13102020,Envases o preformas de poli (tereftalato de etileno) (PET),
25.3,15101502,Kerosene,
25.3,15101504,Combustible para Aviacion,
25.3,15101509,Combustible de uso marino (bunker),
25.3,15111510,Gas licuado de petroleo,
25.3,24122000,"Bombonas, botellas, frascos, bocales, tarros, envases tubulares, ampollas y demas recipientes de vidrio",
25.3,24122004,"Tapones, tapas, capsulas y demas dispositivos de cierre",
25.3,50202201,Cerveza de malta,
25.3,50202300,"Agua, incluida el agua mineral, natural o artificial y demas bebidas no alcoholicas",
25.3,50221002,Harina de trigo o de morcajo (tranquillon),
25.3,50221110,Trigo y morcajo (tranquillon),
